...1,Date,Team,Acquired,Relinquished,Notes
4286,10/31/2000,Heat,NA,Dan Majerle,placed on IL with strained left hamstring
4287,11/2/2000,Magic,NA,Andrew DeClercq,placed on IL with strained left hamstring
4288,11/5/2000,Celtics,NA,Kenny Anderson,placed on IR with facial injury / broken jaw
4289,11/5/2000,Magic,NA,Grant Hill,placed on IL with sore left ankle
4293,11/8/2000,Wizards,NA,Ronald Jones / Popeye Jones,placed on IL with fractured left index finger
4295,11/9/2000,Rockets,NA,Kelvin Cato,placed on IL with sprained left ankle
4296,11/10/2000,Bucks,NA,Darvin Ham,placed on IR recovering from surgery on left foot
4298,11/10/2000,Celtics,NA,Jerome Moiso,placed on IL with strained right ankle
4299,11/10/2000,Celtics,NA,Randy Brown,placed on IL with groin injury
4301,11/10/2000,Raptors,NA,Tyrone Bogues / Muggsy Bogues,placed on IL recovering from surgery on right knee
4304,11/11/2000,Bulls,NA,Brad Miller,placed on IL with broken right hand
4305,11/11/2000,Bulls,NA,Bryce Drew,placed on IL with strained left hamstring
4308,11/11/2000,Celtics,NA,Adrian Griffin,placed on IL with lower back spasms
4310,11/11/2000,Lakers,NA,Tyronn Lue,placed on IL with sprained right ankle
4311,11/11/2000,Warriors,NA,Vonteego Cummings,placed on IR with fractured right cheekbone
4314,11/14/2000,Blazers,NA,Antonio Harvey,placed on IL with sore right knee
4316,11/14/2000,Cavaliers,NA,Wesley Person,placed on IL with bruised right elbow
4318,11/14/2000,Hawks,NA,Roshown McLeod,placed on IR with adjustment disorder due to death of mother
4321,11/15/2000,Warriors,NA,Danny Fortson,placed on IR with sore right foot
4322,11/16/2000,Hornets,NA,Otis Thorpe,placed on IL with strained left foot
4324,11/17/2000,Bucks,NA,Scott Williams,placed on IL with lower back spasms
4325,11/17/2000,Suns,NA,Chris Dudley,placed on IL with sprained left ankle
4327,11/17/2000,Timberwolves,NA,Sam Jacobson,placed on IL with left knee patella tendinitis
4329,11/18/2000,Clippers,NA,Brian Skinner,placed on IL with sprained right ankle
4331,11/18/2000,Hornets,NA,Derrick Coleman,placed on IR with poor conditioning / heart medication
4333,11/18/2000,Raptors,NA,Garth Joseph,placed on IL with bruised ribs
4336,11/20/2000,76ers,NA,Todd MacCulloch,placed on IL with left ankle tendinitis
4338,11/20/2000,Clippers,NA,Zendon Hamilton,placed on IL with strained lower back
4340,11/20/2000,Grizzlies,NA,Michael Dickerson,placed on IL with sprained left ankle
4342,11/20/2000,Pistons,NA,Billy Owens,placed on IL with back spasms
4344,11/21/2000,Bulls,NA,Jake Voskuhl,placed on IL with strained right hip flexor
4346,11/21/2000,Pacers,NA,Tyus Edney,placed on IL with plantar fasciatis in left foot
4349,11/22/2000,Cavaliers,NA,Vernell Coles / Bimbo Coles,placed on IL with left knee inflammation
4350,11/22/2000,Celtics,NA,Adrian Griffin,placed on IL with sore lower back
4352,11/22/2000,Pacers,NA,Sam Perkins,placed on IL with back spasms
4353,11/22/2000,Spurs,NA,Jaren Jackson (Sr.),placed on IL with sprained left ankle
4356,11/24/2000,Hawks,NA,Jim Jackson,placed on IL with sprained MCL in right knee
4357,11/24/2000,Knicks,NA,Felton Spencer,placed on IL with sprained right knee
4359,11/27/2000,Knicks,NA,Charlie Ward,placed on IR recovering from surgery on right knee
4361,11/28/2000,Cavaliers,NA,J.R. Reid,placed on IL with patellar tendinitis in both knees
4363,11/28/2000,Celtics,NA,Mark Blount,placed on IL with sprained right ankle
4365,11/28/2000,Clippers,NA,Earl Boykins,placed on IL with bruised right knee
4369,11/29/2000,Spurs,NA,Samaki Walker,placed on IL with sprained ankle
4371,11/30/2000,Bulls,NA,A.J. Guyton,placed on IL with sprained right knee
4372,12/1/2000,76ers,NA,Juan Sanchez / Pepe Sanchez,placed on IR with bursitis in left hip
4374,12/1/2000,Bucks,NA,Michael Redd,placed on IL with sprained right ankle
4376,12/1/2000,Cavaliers,NA,Michael Hawkins,placed on IL with sprained left ankle
4378,12/1/2000,Timberwolves,NA,Reggie Slater,placed on IL with right knee tendinitis
4380,12/1/2000,Warriors,NA,Adonal Foyle,placed on IR with ligament damage in right ring finger
4382,12/2/2000,Celtics,NA,Chris Herren,placed on IR with bone spurs in right shoulder
4383,12/2/2000,Nuggets,NA,Tariq Abdul-Wahad / Olivier Saint-Jean,placed on IR with peritonsillar abcess
4384,12/2/2000,Nuggets,NA,Terry Davis,placed on IL with right Achilles tendinitis
4386,12/2/2000,Pacers,NA,Bruno Sundov,placed on IL with strained hamstring
4389,12/4/2000,Wizards,NA,Mitch Richmond,placed on IR with partially torn MCL in left knee
4391,12/5/2000,Grizzlies,NA,Kevin Edwards,placed on IL with fractured left thumb
4393,12/5/2000,Pistons,NA,John Wallace,placed on IL with knee injury
4395,12/5/2000,Raptors,NA,Kornel David,placed on IL with back spasms
4398,12/6/2000,Warriors,NA,Chris Mullin,placed on IR with inflammation and cartilage damage in left knee
4400,12/7/2000,Mavericks,NA,Greg Buckner,placed on IL with sprained right foot
4402,12/7/2000,Suns,NA,Ruben Garces,placed on IL with sprained lower back
4404,12/8/2000,Rockets,NA,Jason Collier,placed on IL with surgery on right knee
4405,12/8/2000,Suns,NA,Iakovos Tsakalidis / Jake Tsakalidis,placed on IR after dental surgery
4406,12/9/2000,76ers,NA,Eric Snow,placed on IR with stress fracture of right ankle
4408,12/9/2000,Pistons,NA,Jerome Williams,placed on IL with sprained right ankle
4410,12/10/2000,Celtics,NA,Chris Carr (Dean),placed on IL with sprained left ankle
4413,12/12/2000,Cavaliers,NA,Brevin Knight,placed on IL with sore right knee
4415,12/12/2000,Hawks,NA,Chris Crawford (Lee),placed on IL with sprained left ankle and sore right big toe
4417,12/12/2000,Warriors,NA,Chris Mills,placed on IR with right ankle inflammation
4419,12/13/2000,Hornets,NA,Terrance Roberson,placed on IL with right knee tendinitis
4421,12/13/2000,Pacers,NA,Terry Mills,placed on IL with sprained right ankle
4423,12/13/2000,Spurs,NA,Avery Johnson,placed on IL with bruised left quadriceps & sore left hamstring
4424,12/13/2000,Spurs,NA,Shawnelle Scott,placed on IL with left patella tendinitis
4427,12/14/2000,Raptors,NA,Garth Joseph,placed on IL with strained right groin
4429,12/15/2000,Bulls,NA,Jake Voskuhl,placed on IL with left foot tendinitis
4431,12/15/2000,Cavaliers,NA,Chris Mihm,placed on IR with high right ankle sprain
4433,12/15/2000,Grizzlies,NA,Mahmoud Abdul-Rauf / Chris Jackson,placed on IL with back spasms
4435,12/15/2000,Hawks,NA,Jim Jackson,placed on IL with sprained right knee
4437,12/15/2000,Rockets,NA,Carlos Rogers,placed on IL with sprained left knee
4439,12/15/2000,Timberwolves,NA,Todd Day,placed on IL with hyperextended left knee
4441,12/17/2000,Mavericks,NA,Eduardo Najera,placed on IL with strained right groin
4443,12/17/2000,Pistons,NA,Jud Buechler,placed on IR with chip fracture in right ankle
4447,12/19/2000,Bulls,NA,Dalibor Bagaric,placed on IL with right knee tendinitis
4450,12/19/2000,Hawks,NA,Alan Henderson,placed on IL with sprained left shoulder
4452,12/19/2000,Lakers,NA,Devean George,placed on IR with sore throat & ear infection
4454,12/19/2000,Suns,NA,Mario Elie,placed on IL with broken left hand
4456,12/19/2000,Timberwolves,NA,Tom Hammonds,placed on IR with bilateral synovitis
4458,12/20/2000,Celtics,NA,Walter McCarty,placed on IL with right knee tendinitis
4459,12/20/2000,Nuggets,NA,Tariq Abdul-Wahad / Olivier Saint-Jean,placed on IR with peritonsillar abcess in throat
4461,12/21/2000,Hornets,NA,Eddie Robinson,placed on IR with bruised tailbone
4462,12/22/2000,Heat,NA,Anthony Carter,placed on IL with strained right groin
4464,12/23/2000,76ers,NA,Juan Sanchez / Pepe Sanchez,placed on IR with bursitis in left hip
4465,12/23/2000,Blazers,NA,Erick Barkley,placed on IL with left knee tendinitis
4467,12/23/2000,Cavaliers,NA,Wesley Person,placed on IR with sruised ulnar nerve in right elbow
4469,12/25/2000,Pacers,NA,Bruno Sundov,placed on IL with strained right groin
4471,12/26/2000,Cavaliers,NA,Zydrunas Ilgauskas,placed on IR with stress fracture of lavicular bone in left foot
4475,12/27/2000,Magic,NA,Grant Hill,placed on IL with broken left ankle (out for season)
4477,12/28/2000,Celtics,NA,Jerome Moiso,placed on IL with sprained right ankle
4479,12/28/2000,Pistons,NA,Brian Cardinal,placed on IL with tendinitis in both knees
4482,12/29/2000,Wizards,NA,Laron Profit,placed on IL with back spasms
4484,12/30/2000,Grizzlies,NA,Grant Long,placed on IR with fractured right thumb
4486,12/30/2000,Suns,NA,Ruben Garces,placed on IR with bulging disc
4489,1/1/2001,Celtics,NA,Tony Battie,placed on IL with sprained left ankle
4493,1/3/2001,Pacers,NA,Tyus Edney,placed on IL with sprained left ankle
4494,1/3/2001,Pistons,NA,Jerome Williams,placed on IL with sprained right ankle
4496,1/4/2001,Heat,NA,Don MacLean,placed on IR with tendinitis in right / left quadricep
4498,1/5/2001,76ers,NA,Matt Geiger,placed on IL with sore right knee
4500,1/5/2001,Hornets,NA,Tim James,placed on IL with tendinitis in both knees
4503,1/5/2001,Nets,NA,Soumaila Samake,placed on IL with left knee tendinitis
4506,1/7/2001,Clippers,NA,Keyon Dooling,placed on IL with viral syndrome
4508,1/7/2001,Knicks,NA,Rick Brunson,placed on IL with plantar fasciatis in right foot
4511,1/7/2001,Timberwolves,NA,Sam Jacobson,placed on IL with right knee patella tendinitis
4513,1/8/2001,Warriors,NA,Erick Dampier,placed on IL recovering from surgery on left knee
4515,1/9/2001,Lakers,NA,Mike Penberthy,placed on IL with strained right shoulder
4517,1/9/2001,Rockets,NA,Hakeem Olajuwon,placed on IR with swollen right knee
4519,1/9/2001,Spurs,NA,Sean Elliott,placed on IR with small tear in right rotator cuff
4521,1/10/2001,Celtics,NA,Adrian Griffin,placed on IL with sore lower back
4523,1/10/2001,Kings,NA,Lawrence Funderburke,placed on IL with strained right knee
4525,1/12/2001,Nuggets,NA,Calbert Cheaney,placed on IL with strained left hamstring
4528,1/14/2001,Suns,NA,Daniel Santiago,placed on IL with plantar fasciatis in left foot
4530,1/15/2001,Clippers,NA,Corey Maggette,placed on IR with mild concussion
4532,1/15/2001,Nuggets,NA,Aleksandar Radojevic,placed on IL recovering from surgery on back
4534,1/16/2001,Suns,NA,Anfernee Hardaway / Penny Hardaway,placed on IL with acute inflammation of soft tissue and soreness in left knee
4535,1/17/2001,Hawks,NA,Matt Maloney,placed on IR with a strained right hand
4536,1/17/2001,Wizards,NA,Obinna Ekezie,placed on IL with back spasms
4538,1/18/2001,Bulls,NA,Michael Ruffin,placed on IR with broken finger on right hand (out 2 months)
4540,1/18/2001,Sonics,NA,Ruben Wolkowyski,placed on IR with strained back
4541,1/19/2001,Grizzlies,NA,Kevin Edwards,placed on IL with right Achilles tendinitis
4543,1/19/2001,Knicks,NA,Lavor Postell,placed on IL with strained lower back
4545,1/19/2001,Lakers,NA,Stanislav Medvedenko,placed on IL with right knee tendinitis
4547,1/21/2001,Kings,NA,Jabari Smith (Sr.),placed on IL with right knee tendinitis
4549,1/22/2001,Blazers,NA,Gary Grant,placed on IR with right knee effusion (soreness)
